,ГПЗ,Компания_x,Тип,"Подключен к газопроводу - 1, нет - 0",Год основания_x,"Численность сотрудников, чел","Установленная мощность по переработке природного и попутного газа, млрд куб. м","Установленная мощность по переработке нефти, стабильного газового конденсата, деэтанизированного конденсата, млн т","Установленная мощность по переработке нестабильного газового конденсата, млн т.","Первичная переработка нефти и конденсата, млн т/год","Глубина переработки, %",Окончание модернизации,"Глубина переработки (ожидаемая) после завершения модернизации, %","Автомобильный бензин, млн т","Дизельное топливо, млн т","Керосин, млн т","Нафта, млн т","Мазут, млн т","Прочее, млн т",Состояние_x,Имеющиеся установки,Планы по модернизации,Страна_x,Регион,Город_x,Адрес_x,Сайт,Электронная почта,Официальное название,Широта_x,Долгота_x,Компания_y,Состояние_y,Страна_y,Город_y,Адрес_y,"Высота над уровнем моря, м",Первичная переработка природного газа и ПНГ,Первичная переработка нефти и конденсата,Объем производства пропана,Стабильный газовый конденсат,Объем производства гелия,Объем производства этана,Объем производства пропана.1,Объем производства бутана,Объем производства пентан-гексановой фракции,Год основания_y,Широта_y,Долгота_y
10,Московский ГПЗ,АО «Московский газоперерабатывающий завод»,ГПЗ,0,,,,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Муравленковский ГПЗ,АО «СибурТюменьГаз»,ГПЗ,0,,,1.3,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «СибурТюменьГаз»,в эксплуатации  ,Россия,Муравленко,"629850, Ямало-Ненецкий автономный округ, Пуровский район, Суторминское месторождение, Муравленковский ГПЗ",104.49, 1.30 млрд. м³/год  ,,,,,,,,,1987.0,63.70080600000001,74.76101899999999
12,Нижневартовский ГПЗ,АО «СибурТюменьГаз»,ГПЗ,0,,,6.2,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «СибурТюменьГаз»,в эксплуатации  ,Россия,Нижневартовск,"628616, Тюменская обл., Ханты-Мансийский автономный округ, г. Нижневартовск, район НВ ГПЗ",54.8, 6.20 млрд. м³/год  ,,,,,,,,,1974.0,60.991905,76.368713
13,Нижневартовский ГПЗ,АО «СибурТюменьГаз»,ГПЗ,0,,,6.2,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «СибурТюменьГаз»,в эксплуатации  ,Россия,Нижневартовск,"628616, Тюменская обл., Ханты-Мансийский автономный округ, г. Нижневартовск, район НВ ГПЗ",54.8, 6.20 млрд. м³/год  ,,,,,,,,,1974.0,60.991905,76.368713
14,Нефтегорский ГПЗ,АО «Нефтегорский газоперерабатывающий завод»,ГПЗ,0,,,0.74,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Няганьгазпереработка ГПЗ,ООО «Няганьгазпереработка»,ГПЗ,0,,,2.6,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО Няганьгазпереработка,в эксплуатации  ,Россия,Нягань,"628616, Тюменская обл., Ханты-Мансийский автономный округ, г. Нягань, 29 км а/дороги Нягань-Талинка, стр.39.",149.88, 2.60 млрд. м³/год  ,,,,,,,,,1988.0,62.000502000000004,65.858402
16,Сосногорский ГПЗ,ООО «Газпром переработка»,ГПЗ,1,,,3.0,,2.5,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «Газпром переработка»,в эксплуатации  ,Россия,Сосногорск,,77.59, 3 млрд. м³/год   , 1.25 млн. тонн/год,,,,,,,,,63.575417,53.951712
17,Сургутский ГПЗ,ОАО «Сургутнефтегаз»,ГПЗ,0,,,7.5,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ОАО Сургутнефтегаз,в эксплуатации  ,Россия,Сургут,,49.12, 7.50 млрд. м³/год  ,,,,,,,,,1980.0,61.276545,73.04595
18,Оренбургский ГПЗ,ООО «Газпром переработка»,ГПЗ,1,,,37.5,,6.3,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «Газпром переработка»,в эксплуатации  ,Россия,Оренбург,,206.44, 37.50 млрд. м³/год   , 6.26 млн. тонн/год,,,,,,,,,51.871086,54.762211
19,Оренбургский гелиевый завод,ООО «Газпром переработка»,,1,,,15.0,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «Газпром переработка»,в эксплуатации  ,Россия,Оренбург,,219.54, 15 млрд. м³/год   ,,,,,,,,,,51.87151,54.705391000000006
20,Отрадненский ГПЗ,АО «Отрадненский газоперерабатывающий завод»,ГПЗ,0,,,1.1,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО ОТРАДНЕНСКИЙ ГАЗОПЕРЕРАБАТЫВАЮЩИЙ ЗАВОД,в эксплуатации  ,Россия,Отрадный,"Самарская обл, г. Отрадный, 446301",52.35, 1.10 млрд. м³/год  ,,,,,,,,,1962.0,53.350739000000004,51.309709000000005
21,Пермский ГПЗ,ООО «ЛУКОЙЛ-Пермнефтеоргсинтез»,ГПЗ,0,,,1.46,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО ЛУКОЙЛ-Пермнефтеоргсинтез,в эксплуатации  ,Россия,Пермь,"614055, Российская Федерация, г. Пермь, ул. Промышленная, 84",, 1.46 млрд. м³/год  ,,,,,,,,,1991.0,57.880655000000004,56.168583999999996
22,Пермский ГПЗ,ООО «ЛУКОЙЛ-Пермнефтеоргсинтез»,ГПЗ,0,,,1.46,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО ЛУКОЙЛ-Пермнефтеоргсинтез,в эксплуатации  ,Россия,Пермь,"614055, Российская Федерация, г. Пермь, ул. Промышленная, 84",, 1.46 млрд. м³/год  ,,,,,,,,,1991.0,57.880655000000004,56.168583999999996
23,Пуровский ЗПК,ПАО «НОВАТЭК»,ГПЗ,0,,,,12.0,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ПАО «НОВАТЭК»,в эксплуатации  ,Россия,Тарко-Сале,"Ямало-Ненецкий АО, Пуровский р-н, рзд.Лимбей, 629880",27.46,, 12 млн. тонн/год  ,,,,,,,,2005.0,65.081317,77.81599
24,Туймазинский ГПЗ,АО «ОНК»,ГПЗ,0,,,0.73,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «ОНК»,в эксплуатации  ,Россия,Туймазы,"Башкортостан Респ, Туймазинский р-н, д.Нуркеево, ул.Промышленная, д.42, 452774",178.94, 0.73 млрд. м³/год  ,,,,,,,,,1953.0,54.566389,53.679885999999996
25,Усинский ГПЗ,ООО «ЛУКОЙЛ-Коми»,ГПЗ,0,,,0.6,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «ЛУКОЙЛ-Коми»,в эксплуатации  ,Россия,Усинск,"169710, Республика Коми, г. Усинск, ул. Возейская, 21а",70.06, 0.60 млрд. м³/год  ,,,,,,,,,1980.0,66.136736,57.349491
26,Усть-Кутский ГПЗ,ООО «Иркутская нефтяная компания»,ГПЗ,0,,,,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «ИНК» (Иркутская нефтяная компания),строится,Россия,Усть-Кут,"664000, Россия, г. Иркутск, пр-кт Большой Литейный, д. 4",,,,,,,,,,,2022.0,56.828126,106.012573
27,Шкаповский ГПЗ,АО «ОНК»,ГПЗ,0,,,0.04,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «ОНК»,в эксплуатации  ,Россия,Приютово,"Башкортостан Респ, Белебеевский р-н, рп.Приютово, б-р.Мира, д.7А, пом.2, 452017",326.4, 0.04 млрд. м³/год  ,,,,,,,,,1959.0,53.928931000000006,53.990936
28,Южно-Балыкский ГПЗ,АО «СибурТюменьГаз»,ГПЗ,1,,,2.9,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «СибурТюменьГаз»,в эксплуатации  ,Россия,Пыть-Ях,"628387, Тюменская обл., Ханты-Мансийский автономный округ, г. Пыть-Ях, микрорайон №7, дом 7 """"А""""",64.47, 2.90 млрд. м³/год  ,,,,,,,,,1978.0,60.687868,72.859998
29,Южно-Приобский ГПЗ,ООО «Газпром переработка»,ГПЗ,0,,,0.9,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «Газпромнефть-Хантос»,в эксплуатации  ,Россия,Ханты-Мансийск,,51.81, 0.90 млрд. м³/год   ,,,,,,,,,,61.100207999999995,70.196972
30,Якутский ГПЗ,АО «САХАТРАНСНЕФТЕГАЗ»,ГПЗ,0,,,,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,АО «САХАТРАНСНЕФТЕГАЗ»,в эксплуатации  ,Россия,Якутск,,213.58,,,,,,,,,,1994.0,62.069428,129.650645
31,Завод по стабилизации конденсата,ООО «Газпром переработка»,,0,,,3.0,12.1,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «Газпром переработка»,в эксплуатации  ,Россия,Сургут,,60.98, 3 млрд. м³/год   , 14.10 млн. тонн/год,,,,,,,,,61.28335,72.994709
32,Завод по подготовке конденсата к транспорту,ООО «Газпром переработка»,,0,,,,,13.7,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «Газпром переработка»,в эксплуатации  ,Россия,Новый Уренгой,,45.16,, 13.70 млн. тонн/год   ,,,,,,,,,66.106335,76.85623199999999
33,Завод по производству метанола,ООО «Газпром переработка»,,0,,,,,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «Газпром переработка»,в эксплуатации  ,Россия,Томск,,131.8,,,,,,,,,,,56.620354000000006,85.005169
34,"Комплекс приема, хранения и отгрузки сжиженных углеводородных газов",ООО «Иркутская нефтяная компания»,,0,,,,0.25,,,,,,,,,,,,в эксплуатации,,,,,,,,,,,,ООО «ИНК» (Иркутская нефтяная компания),в эксплуатации  ,Россия,Усть-Кут,,,,, 0.16 млн. тонн/год, 0.25 млн. тонн/год   ,,,,,,,56.820999,106.015148
