,Название,Тип:,"Электрическая мощность,  Мвт",Годовая выработка электричества:,Город:,Координаты:,"Тепловая мощность, Гкал/ч",Отпуск т/э с коллекторов:,КИУМ электрической мощности:,Адрес:,Удельный расход условного топлива на э/э (УРУТ э.э.):,Удельный расход условного топлива на т/э (УРУТ т.э.):,"Электрическая мощность, Гкал/ч","Тепловой коэффициент, Гкал/МВт*ч"
188,Норильская ТЭЦ-1, Теплоэлектроцентраль ,370.0, 1 572.36 млн. кВт*ч, Норильск, Широта: 69.334180 Долгота: 88.231367,2320.7,,,,,,318.14265,6.272162162162162
189,Балаковская ТЭЦ-4, Теплоэлектроцентраль ,370.0, 1 372.56 млн. кВт*ч, Балаково, Широта: 51.975556 Долгота: 47.783333,1232.0,,,,,,318.14265,3.32972972972973
190,Якутская ГРЭС, Теплоэлектроцентраль ,368.0, 1 601.38 млн. кВт*ч, Якутск, Широта: 62.059765 Долгота: 129.774284,548.0, 1 394.41 тыс. Гкал, 67.73 %,, 414.32 г/кВт•ч,,316.42296,1.4891304347826086
191,Комсомольская ТЭЦ-3, Теплоэлектроцентраль ,360.0, 1 126.38 млн. кВт*ч, Комсомольск-на-Амуре, Широта: 50.606111 Долгота: 136.954722,1240.0, 1 461.18 тыс. Гкал, 42.75 %,, 305.30 г/кВт•ч,,309.5442,3.4444444444444446
192,Кировская ТЭЦ-4, Теплоэлектроцентраль ,353.0, 1 324 млн. кВт*ч, Киров, Широта: 58.621083 Долгота: 49.596528,1376.0, 2 260 тыс. Гкал,," Кировская область, г. Киров, ул. Луганская, 51-а",,,303.525285,3.898016997167139
193,Адлерская ТЭС, Теплоэлектроцентраль ,351.0, 2 016.10 млн. кВт*ч, Сочи, Широта: 43.420222 Долгота: 39.949154,90.0, 160.50 тыс. Гкал, 64 %," 354383, Краснодарский край, г. Сочи, Адлерский район, ул. Суздальская", 261.70 г/кВт•ч, 130.40 кг/Гкал,301.805595,0.2564102564102564
194,Иркутская ТЭЦ-11, Теплоэлектроцентраль ,350.3, 894.46 млн. кВт*ч, Усолье-Сибирское-12, Широта: 52.782429 Долгота: 103.602598,1285.0,,,,,,301.2037035,3.668284327719098
195,Нижегородская ВЭС, Ветряная электростанция ,350.0,,, указать местонахождение электростанции,,,, Нижегородская область,,,300.94575,
196,Сормовская ТЭЦ, Теплоэлектроцентраль ,350.0, 1 116.27 млн. кВт*ч, Нижний Новгород, Широта: 56.352500 Долгота: 43.891389,646.0,,,,,,300.94575,1.8457142857142856
197,Рыбинская ГЭС, Гидроэлектростанция ,366.4, 935 млн. кВт*ч, Рыбинск, Широта: 58.082117 Долгота: 38.824908,,,," 152917, Ярославская область, г. Рыбинск, ул. Вяземского, 31",,,315.04720799999996,
198,Ярославская ТЭЦ-3, Теплоэлектроцентраль ,345.0, 1 074.52 млн. кВт*ч, Ярославль, Широта: 57.550556 Долгота: 39.771111,1665.0,,,,,,296.646525,4.826086956521739
199,Стерлитамакская ТЭЦ, Теплоэлектроцентраль ,345.0, 1 472.66 млн. кВт*ч, Стерлитамак, Широта: 53.666561 Долгота: 55.961920,1621.0, 2 974.30 тыс. Гкал,,,, 134.30 кг/Гкал,296.646525,4.698550724637681
200,Новосибирская ТЭЦ-2, Теплоэлектроцентраль ,340.0, 1 289.98 млн. кВт*ч, Новосибирск, Широта: 54.999333 Долгота: 82.874278,920.0,,,,,,292.3473,2.7058823529411766
201,Хабаровская ТЭЦ-4, Теплоэлектроцентраль ,340.0,, Хабаровск, указать местонахождение электростанции,1260.0,,,,,,292.3473,3.7058823529411766
